Название,IMO,MMSI,Тип,Ссылка,Ошибка
,,,,https://www.vesselfinder.com/ru/vessels?name=BON VIVANT,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=BON VOYAGE,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=BONOPOSTONOVSHIK,суда не найдены
,,,,https://www.vesselfinder.com/ru/vessels?name=BOOT 3,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=BORNEO,"не все данные найдены: name='BORNEO', imo='', mmsi='', type='Other type'"
,,,,https://www.vesselfinder.com/ru/vessels?name=BOSFOR VOSTOCHNYY,статус код: 400
BOSS,9108752,231803000,Tug,https://www.vesselfinder.com/ru/vessels?name=BOSS,
,,,,https://www.vesselfinder.com/ru/vessels?name=BRABO,"не все данные найдены: name='BRABO', imo='', mmsi='', type='Unknown'"
BRAMS,8910794,273318780,Tanker,https://www.vesselfinder.com/ru/vessels?name=BRAMS,
,,,,https://www.vesselfinder.com/ru/vessels?name=BRIGADIR GUSEV,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=BRIGHT ELEGANCE,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=BRONZE LADY,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=BU YONG 21HO,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=BU YONG 7HO,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=BUGSIER 21,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=BUKHTA ASACHA,статус код: 400
BUKWANG NO 5,8998552,440206050,Tanker,https://www.vesselfinder.com/ru/vessels?name=BUKWANG,
,,,,https://www.vesselfinder.com/ru/vessels?name=BULK JOYANCE,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=BUSAN STAR,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=BUXCONTACT,суда не найдены
BYSTRAYA,9098971,273296960,Other type,https://www.vesselfinder.com/ru/vessels?name=BYSTRAYA,
,,,,https://www.vesselfinder.com/ru/vessels?name=BZ LINHAI,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=CAI HONG DAO 7,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=CAPITAN FINASHIN,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=CAPTAIN KANG,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=CAPTAIN KOSTICHEV,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=CAPTAIN YAKUBOVICH,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=CARAVOS LIBERTY,статус код: 400
CARLUNG,9637997,477995253,Tanker (HAZ-A),https://www.vesselfinder.com/ru/vessels?name=CARLUNG,
,,,,https://www.vesselfinder.com/ru/vessels?name=CAROLINA 33,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=CASIMIR,"не все данные найдены: name='CASIMIR', imo='', mmsi='', type='Cargo ship'"
